homelat,homelon,homecontinent,n
33,65,Afghanistan,0
41.1533,20.1683,Albania,0
28.0339,1.6596,Algeria,0
42.5063,1.5218,Andorra,0
-11.2027,17.8739,Angola,0
17.0608,-61.7964,Antigua and Barbuda,0
-38.4161,-63.6167,Argentina,0
40.0691,45.0382,Armenia,0
-35.4735,149.0124,Australia,0
-33.8688,151.2093,Australia,0
-12.4634,130.8456,Australia,0
-28.0167,153.4,Australia,0
-34.9285,138.6007,Australia,0
-41.4545,145.9707,Australia,0
-37.8136,144.9631,Australia,0
-31.9505,115.8605,Australia,0
47.5162,14.5501,Austria,0
40.1431,47.5769,Azerbaijan,0
25.0343,-77.3963,Bahamas,0
26.0275,50.55,Bahrain,0
23.685,90.3563,Bangladesh,0
13.1939,-59.5432,Barbados,0
53.7098,27.9534,Belarus,0
50.8333,4,Belgium,0
9.3077,2.3158,Benin,0
27.5142,90.4336,Bhutan,0
-16.2902,-63.5887,Bolivia,0
43.9159,17.6791,Bosnia and Herzegovina,0
-14.235,-51.9253,Brazil,0
4.5353,114.7277,Brunei,0
42.7339,25.4858,Bulgaria,0
12.2383,-1.5616,Burkina Faso,0
16.5388,-23.0418,Cabo Verde,0
11.55,104.9167,Cambodia,0
3.848,11.5021,Cameroon,0
53.9333,-116.5765,Canada,0
49.2827,-123.1207,Canada,0
37.6489,-122.6655,Canada,0
53.7609,-98.8139,Canada,0
46.5653,-66.4619,Canada,0
53.1355,-57.6604,Canada,0
44.682,-63.7443,Canada,0
51.2538,-85.3232,Canada,0
46.5107,-63.4168,Canada,0
52.9399,-73.5491,Canada,0
52.9399,-106.4509,Canada,0
6.6111,20.9394,Central African Republic,0
15.4542,18.7322,Chad,0
-35.6751,-71.543,Chile,0
31.8257,117.2264,China,0
40.1824,116.4142,China,0
30.0572,107.874,China,0
26.0789,117.9874,China,0
37.8099,101.0583,China,0
23.3417,113.4244,China,0
23.8298,108.7881,China,0
26.8154,106.8748,China,0
19.1959,109.7453,China,0
39.549,116.1306,China,0
47.862,127.7615,China,0
33.882,113.614,China,0
22.3,114.2,China,0
30.9756,112.2707,China,17
27.6104,111.7088,China,0
44.0935,113.9448,China,0
32.9711,119.455,China,0
27.614,115.7221,China,0
43.6661,126.1923,China,0
41.2956,122.6085,China,0
22.1667,113.55,China,0
37.2692,106.1655,China,0
35.7452,95.9956,China,0
35.1917,108.8701,China,0
36.3427,118.1498,China,0
31.202,121.4491,China,0
37.5777,112.2922,China,0
30.6171,102.7103,China,0
39.3054,117.323,China,0
31.6927,88.0924,China,0
41.1129,85.2401,China,0
24.974,101.487,China,0
29.1832,120.0934,China,0
4.5709,-74.2973,Colombia,0
-4.0383,21.7587,Congo (Brazzaville),0
-4.0383,21.7587,Congo (Kinshasa),0
9.7489,-83.7534,Costa Rica,0
7.54,-5.5471,Cote d'Ivoire,0
45.1,15.2,Croatia,0
0,0,Diamond Princess,0
22,-80,Cuba,0
35.1264,33.4299,Cyprus,0
49.8175,15.473,Czechia,0
61.8926,-6.9118,Denmark,0
71.7069,-42.6043,Denmark,0
56.2639,9.5018,Denmark,0
11.8251,42.5903,Djibouti,0
18.7357,-70.1627,Dominican Republic,0
-1.8312,-78.1834,Ecuador,0
26,30,Egypt,0
13.7942,-88.8965,El Salvador,0
1.5,10,Equatorial Guinea,0
15.1794,39.7823,Eritrea,0
58.5953,25.0136,Estonia,0
-26.5225,31.4659,Eswatini,0
9.145,40.4897,Ethiopia,0
-17.7134,178.065,Fiji,0
64,26,Finland,0
3.9339,-53.1258,France,0
-17.6797,149.4068,France,0
16.25,-61.5833,France,0
-12.8275,45.1662,France,0
-20.9043,165.618,France,0
-21.1351,55.2471,France,0
17.9,-62.8333,France,0
18.0708,-63.0501,France,0
14.6415,-61.0242,France,0
46.2276,2.2137,France,0
-0.8037,11.6094,Gabon,0
13.4432,-15.3101,Gambia,0
42.3154,43.3569,Georgia,0
51,9,Germany,0
7.9465,-1.0232,Ghana,0
39.0742,21.8243,Greece,0
15.7835,-90.2308,Guatemala,0
9.9456,-9.6966,Guinea,0
5,-58.75,Guyana,0
18.9712,-72.2852,Haiti,0
41.9029,12.4534,Holy See,0
15.2,-86.2419,Honduras,0
47.1625,19.5033,Hungary,0
64.9631,-19.0208,Iceland,0
21,78,India,0
-0.7893,113.9213,Indonesia,0
32,53,Iran,0
33,44,Iraq,0
53.1424,-7.6921,Ireland,0
31,35,Israel,0
