homelat,homelon,n
-82.9,135,4
-54.8,-68.3,4
-53.8,-67.7,1
-53.2,-70.9,2
-52.4,-71,2
-51.7,-72.5,2
-51.6,-69.2,4
-51.6,-69.2,1
-49.7,178.8,1
-47.8,-65.9,2
-46.5,-71.6,2
-46.4,-67.5,1
-46.1,169.6,1
-45.9,-67.5,2
-45.9,170.5,62
-45.9,170.7,1
-45.8,170.6,2
-44.9,168.7,1
-44.8,-65.7,1
-44.7,169.1,4
-43.5,172.6,62
-43.3,-65.1,10
-43.3,-65,5
-43.2,-65.3,2
-43.1,147.3,1
-42.9,-71.3,4
-42.9,147.1,32
-42.9,147.3,1
-42.9,147.3,3
-42.9,147.4,1
-42.8,-65,26
-42.8,147.3,2
-42.7,147.4,1
-42.4,171.7,3
-42.4,173.7,24
-42,172,16
-41.9,-73.8,1
-41.8,171.5,10
-41.6,147.1,2
-41.6,173.4,2
-41.5,-72.9,4
-41.5,146,7
-41.5,148.3,1
-41.3,-73,3
-41.3,148.2,1
-41.3,173.3,10
-41.3,174.8,44
-41.3,174.8,6
-41.1,-71.3,6
-41.1,-71.2,1
-41.1,174.8,6
-41.1,175.1,3
-40.9,174.9,191
-40.9,175.1,1
-40.8,-65.1,3
-40.8,-63,2
-40.8,175.3,4
-40.6,-73.7,1
-40.6,-73.1,2
-40.4,175.6,5
-40.3,175.6,3
-40.2,-71.4,2
-40,-65.4,1
-39.8,-73.3,2
-39.8,-73.2,9
-39.8,176.7,4
-39.5,-73,1
-39.4,-73.2,3
-39.4,174.4,13
-39.3,-72,22
-39.3,-65.8,1
-39.3,-62.6,2
-39.1,-67.4,1
-39.1,174,3
-39.1,174.1,8
-39.1,174.4,1
-39,-68.1,5
-39,-61.6,3
-39,-61.3,4
-38.9,-72.3,4
-38.9,-71.2,3
-38.7,-72.6,10
-38.7,-62.4,1
-38.7,-62.3,10
-38.7,178,5
-38.6,-58.7,10
-38.6,146.1,2
-38.5,143.7,2
-38.5,145.2,18
-38.5,145.3,5
-38.5,145.5,8
-38.5,145.9,3
-38.4,-63.6,529
-38.4,142.5,1
-38.4,142.9,2
-38.4,144.3,5
-38.4,144.8,1
-38.4,144.9,15
-38.3,-59.6,2
-38.3,-57.8,24
-38.3,144,2
-38.3,144.3,26
-38.3,144.5,2
-38.3,144.6,23
-38.3,144.7,1
-38.3,145.1,1
-38.2,-57.7,3
-38.2,-57.6,6
-38.2,144.7,1
-38.2,145.2,3
-38.1,144.4,6
-38.1,145.1,8
-38.1,176.2,1
-38.1,178,8
-38,-57.7,5
-38,-57.6,1
-38,-57.5,499
-38,145,1
-38,145.1,8
-38,145.2,1
-38,145.3,1
-38,147,2
-37.9,-57.8,2
-37.9,-57.6,1
-37.9,144.7,2
-37.9,144.8,1
-37.9,145,17
-37.9,145.1,1
-37.9,145.3,1
-37.8,-57.5,1
-37.8,140.8,2
-37.8,144.8,4
-37.8,144.9,16
-37.8,145,570
-37.8,145.1,2
-37.8,145.2,1
-37.8,145.3,2
-37.8,145.4,1
-37.8,174.9,14
-37.8,175.3,11
-37.7,176.2,3
-37.7,177.1,2
-37.6,143.9,6
-37.6,147.5,3
-37.6,176.2,10
-37.5,-72.3,8
-37.5,144.8,35
-37.5,175.2,1
-37.4,144.3,2
-37.4,144.6,2
-37.4,175.9,2
-37.3,-60,2
-37.3,-59.1,1
-37.3,-57,2
-37.3,142.9,1
-37.2,-62.8,3
-37.2,175.9,1
-37.1,-56.9,54
-37.1,142.7,1
-37.1,145.9,1
-37,-73,2
-37,-72.3,1
-37,174.5,1
-37,174.8,1
-37,175.9,1
